CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	227	2141	9.59	2368
2	0	13	0.00	13
3	0	23	0.00	23
4	13	166	7.26	179
5	13	225	5.46	238
6	8	265	2.93	273
7	10	229	4.18	239
8	15	277	5.14	292
9	9	250	3.47	259
10	17	248	6.42	265
11	10	218	4.39	228
12	20	267	6.97	287
13	22	281	7.26	303
14	7	263	2.59	270
15	13	260	4.76	273
16	18	299	5.68	317
17	11	266	3.97	277
18	11	242	4.35	253
19	23	299	7.14	322
20	8	232	3.33	240
21	14	224	5.88	238
22	8	265	2.93	273
23	19	272	6.53	291
24	12	219	5.19	231
25	12	281	4.10	293
26	9	305	2.87	314
27	16	262	5.76	278
28	16	243	6.18	259
29	18	258	6.52	276
30	13	261	4.74	274
31	17	287	5.59	304
32	14	305	4.39	319
33	13	224	5.49	237
34	11	275	3.85	286
35	10	250	3.85	260
36	16	220	6.78	236
37	10	270	3.57	280
38	20	243	7.60	263
39	9	222	3.90	231
40	19	261	6.79	280
41	17	248	6.42	265
42	12	273	4.21	285
43	18	285	5.94	303
44	10	268	3.60	278
45	18	269	6.27	287
46	20	231	7.97	251
47	17	287	5.59	304
48	15	269	5.28	284
49	22	231	8.70	253
50	12	219	5.19	231
51	8	221	3.49	229
52	18	239	7.00	257
53	14	237	5.58	251
54	12	255	4.49	267
55	11	282	3.75	293
56	16	203	7.31	219
57	16	233	6.43	249
58	16	228	6.56	244
59	20	251	7.38	271
60	11	252	4.18	263
61	13	205	5.96	218
62	19	245	7.20	264
63	11	190	5.47	201
64	13	273	4.55	286
65	14	211	6.22	225
66	14	284	4.70	298
67	8	244	3.17	252
68	10	213	4.48	223
69	12	189	5.97	201
70	9	238	3.64	247
71	11	223	4.70	234
72	5	244	2.01	249
73	8	235	3.29	243
74	15	181	7.65	196
75	7	173	3.89	180
76	8	188	4.08	196
77	14	196	6.67	210
78	9	206	4.19	215
79	11	171	6.04	182
80	8	183	4.19	191
81	5	167	2.91	172
82	5	194	2.51	199
83	4	137	2.84	141
84	5	164	2.96	169
85	7	197	3.43	204
86	8	159	4.79	167
87	8	184	4.17	192
88	5	121	3.97	126
89	7	129	5.15	136
90	9	120	6.98	129
91	8	132	5.71	140
92	7	129	5.15	136
93	9	144	5.88	153
94	5	129	3.73	134
95	7	106	6.19	113
96	9	108	7.69	117
97	4	102	3.77	106
98	4	89	4.30	93
99	1	55	1.79	56
100	2	12	14.29	14
101	0	6	0.00	6
102	0	3	0.00	3
103	2	8	20.00	10
104	0	3	0.00	3
105	1	4	20.00	5
106	2	4	33.33	6
107	1	5	16.67	6
108	2	6	25.00	8
109	0	5	0.00	5
110	0	3	0.00	3
111	0	5	0.00	5
112	0	4	0.00	4
113	0	2	0.00	2
114	0	4	0.00	4
115	0	2	0.00	2
116	0	2	0.00	2
117	1	5	16.67	6
118	0	3	0.00	3
119	0	3	0.00	3
