Feature,Logistic_Regression,p_value
8_1410362,0.0068,3.298079035965118e-20
5_935708,0.0068,4.320360864097033e-21
22_170857,0.0068,3.690493568451433e-20
10_753969,0.0068,1.0753528748912608e-21
7_1162104,0.0067,6.767609090293898e-28
14_734918,0.0067,2.054489521318929e-24
6_734513,0.0067,4.666070679239976e-25
19_168979,0.0067,9.138504184595962e-21
3_451460,0.0067,1.5268353492821927e-25
3_486567,0.0067,6.961399812370372e-23
5_734369,0.0067,3.526902257066384e-24
15_414954,0.0067,1.0161728973024265e-28
1_2444615,0.0067,5.1633531750380894e-24
16_511344,0.0066,3.702485981366287e-21
4_406305,0.0066,6.281019490001309e-21
19_14683,0.0066,9.374939320416973e-21
3_502763,0.0066,9.528051110329239e-23
2_2194486,0.0066,6.958898263016965e-28
1_363213,0.0066,2.54465238512357e-23
1_710472,0.0066,1.416758647590289e-20
19_14698,0.0066,5.385257376612689e-22
2_2194485,0.0066,5.556240984722077e-20
14_594644,0.0066,1.2329969966938184e-20
19_22522,0.0066,3.432113564065574e-27
2_1021429,0.0066,4.834370379173113e-24
15_893790,0.0066,8.739242882071727e-29
3_273695,0.0066,1.9656261525621765e-23
19_14684,0.0066,3.529916451398049e-21
8_1445810,0.0066,1.9460557465344374e-22
11_647129,0.0066,1.3158589546141905e-21
9_885355,0.0066,2.00737781716862e-24
10_297354,0.0065,2.7953182991910727e-24
8_316407,0.0065,7.648073555558367e-20
5_1354907,0.0065,6.087213086003706e-21
12_576197,0.0065,2.2217054553691378e-24
2_552236,0.0065,9.558983579607923e-24
9_1377869,-0.0065,7.343076438344781e-20
14_1043744,-0.0065,1.2081332379669897e-29
14_522679,0.0065,7.54651509285533e-24
