chr	start_range	end_range	mut_reads	wt_reads	total_reads
1	2205500	2205600	0	4	4
1	2205600	2205700	0	10	10
1	2415800	2415900	0	12	12
1	4654500	4654600	0	4	4
1	4654600	4654700	0	12	12
1	6961900	6962000	0	4	4
1	6962000	6962100	0	14	14
1	16647500	16647600	0	6	6
1	19274000	19274100	0	24	24
1	21607800	21607900	0	6	6
1	21607900	21608000	0	8	8
1	27360600	27360700	0	2	2
1	27360700	27360800	0	14	14
1	27360800	27360900	0	6	6
1	29121300	29121400	0	12	12
1	32251200	32251300	0	18	18
1	36321200	36321300	0	4	4
1	36321300	36321400	0	22	22
1	39639700	39639800	0	4	4
1	47416500	47416600	0	6	6
1	47416600	47416700	0	4	4
1	47438600	47438700	0	8	8
1	47438700	47438800	0	14	14
1	47438800	47438900	0	4	4
1	47439100	47439200	0	2	2
1	47439200	47439300	0	6	6
1	63319700	63319800	0	4	4
1	63319800	63319900	0	2	2
1	63321500	63321600	0	18	18
1	71047100	71047200	0	12	12
1	71047200	71047300	0	2	2
1	110211700	110211800	0	4	4
1	118990100	118990200	0	4	4
1	118990200	118990300	0	22	22
1	151839900	151840000	0	4	4
1	156845100	156845200	0	10	10
1	217924900	217925000	0	6	6
1	223748900	223749000	0	1	1
1	223749000	223749100	0	1	1
1	227947500	227947600	0	6	6
1	237043000	237043100	0	12	12
1	237043100	237043200	0	6	6
1	239997900	239998000	0	12	12
1	239998000	239998100	0	12	12
1	244461300	244461400	0	10	10
1	244461400	244461500	0	10	10
1	244461500	244461600	0	2	2
10	7411800	7411900	0	10	10
10	22345300	22345400	0	8	8
10	25934300	25934400	0	4	4
10	26391800	26391900	0	12	12
10	26391900	26392000	0	2	2
10	27252700	27252800	0	8	8
10	29735300	29735400	0	20	20
10	29735400	29735500	0	12	12
10	30058800	30058900	0	4	4
10	30058900	30059000	0	11	11
10	30059000	30059100	0	1	1
10	30059100	30059200	0	12	12
10	35639900	35640000	0	6	6
10	35640000	35640100	0	14	14
10	75234000	75234100	0	10	10
10	75234100	75234200	0	12	12
10	75396200	75396300	0	6	6
10	75396300	75396400	0	10	10
10	75396400	75396500	0	2	2
10	75396500	75396600	0	6	6
10	75396600	75396700	0	8	8
10	75396900	75397000	0	6	6
10	88583000	88583100	0	8	8
10	88583100	88583200	0	10	10
10	89535900	89536000	0	2	2
10	92420600	92420700	0	12	12
10	92690100	92690200	0	12	12
10	92690200	92690300	0	10	10
10	93062900	93063000	0	8	8
10	93063000	93063100	0	8	8
10	103584400	103584500	0	6	6
10	103584500	103584600	0	14	14
10	103584600	103584700	0	4	4
10	123666500	123666600	0	6	6
10	124447600	124447700	0	4	4
10	124447700	124447800	0	4	4
10	129958800	129958900	0	8	8
10	129958900	129959000	0	6	6
10	129972900	129973000	0	2	2
10	129973000	129973100	0	6	6
10	132421300	132421400	0	14	14
10	132784800	132784900	0	8	8
10	132784900	132785000	0	2	2
10	132785000	132785100	0	14	14
10	133357200	133357300	0	6	6
10	133357300	133357400	0	8	8
11	279300	279400	0	2	2
11	279400	279500	0	10	10
11	636900	637000	0	8	8
11	637000	637100	0	4	4
11	2270200	2270300	0	12	12
11	17720200	17720300	0	6	6
11	17720300	17720400	0	2	2
11	17736000	17736100	0	5	5
11	17736100	17736200	0	3	3
11	19242300	19242400	0	2	2
11	19242500	19242600	0	12	12
11	20156200	20156300	0	4	4
11	20156300	20156400	0	6	6
11	20156400	20156500	0	12	12
11	31804200	31804300	0	20	20
11	31805100	31805200	0	9	9
11	31805200	31805300	0	7	7
11	47394800	47394900	0	2	2
11	47394900	47395000	0	12	12
11	61509500	61509600	0	6	6
11	61509600	61509700	0	4	4
11	64712800	64712900	0	8	8
11	64712900	64713000	0	6	6
11	65640900	65641000	0	2	2
11	65641000	65641100	0	2	2
11	67117800	67117900	0	6	6
11	67117900	67118000	0	6	6
12	1531400	1531500	0	8	8
12	1531500	1531600	0	2	2
12	6075300	6075400	0	26	26
12	6937000	6937100	0	6	6
12	6937100	6937200	0	6	6
12	6937300	6937400	0	10	10
12	30823000	30823100	0	26	26
12	30823100	30823200	0	18	18
12	49333100	49333200	0	2	2
12	49333200	49333300	0	6	6
12	51721700	51721800	0	12	12
12	51721800	51721900	0	2	2
12	52007700	52007800	0	6	6
12	53938900	53939000	0	4	4
12	54029600	54029700	0	4	4
12	54029700	54029800	0	8	8
12	57236200	57236300	0	4	4
12	57236300	57236400	0	14	14
12	57619700	57619800	0	14	14
12	57619800	57619900	0	10	10
12	64390200	64390300	0	10	10
12	64390300	64390400	0	2	2
12	95548300	95548400	0	16	16
12	95548400	95548500	0	6	6
12	113464100	113464200	0	4	4
12	113464200	113464300	0	4	4
13	30906400	30906500	0	2	2
13	30906500	30906600	0	20	20
13	33016400	33016500	0	4	4
13	33016500	33016600	0	4	4
13	50843300	50843400	0	14	14
13	50843400	50843500	0	2	2
13	53200900	53201000	0	10	10
13	78601900	78602000	0	2	2
13	78602000	78602100	0	18	18
13	78602300	78602400	0	6	6
13	78603400	78603500	0	4	4
13	78603500	78603600	0	2	2
13	99895600	99895700	0	12	12
13	109140600	109140700	0	6	6
13	109140700	109140800	0	2	2
14	23576000	23576100	0	4	4
14	33950400	33950500	0	12	12
14	33950500	33950600	0	2	2
14	36656400	36656500	0	14	14
14	36656500	36656600	0	2	2
14	36658600	36658700	0	4	4
14	36658700	36658800	0	12	12
14	36667000	36667100	0	10	10
14	37197900	37198000	0	20	20
14	37592000	37592100	0	18	18
14	52267900	52268000	0	10	10
14	59464300	59464400	0	2	2
14	59464400	59464500	0	4	4
14	61280300	61280400	0	6	6
14	61280700	61280800	0	12	12
14	69484200	69484300	0	8	8
14	69571800	69571900	0	2	2
14	69571900	69572000	0	12	12
14	73491700	73491800	0	14	14
14	73491800	73491900	0	2	2
14	74611800	74611900	0	8	8
14	74611900	74612000	0	10	10
14	74955700	74955800	0	10	10
14	92514500	92514600	0	12	12
14	92514600	92514700	0	2	2
14	97033300	97033400	0	16	16
14	99603500	99603600	0	2	2
14	99603600	99603700	0	18	18
14	102929100	102929200	0	6	6
14	103123000	103123100	0	6	6
14	103123100	103123200	0	4	4
14	105478200	105478300	0	10	10
14	105478300	105478400	0	4	4
15	30225200	30225300	0	3	3
15	30225300	30225400	0	3	3
15	41495200	41495300	0	14	14
15	41495300	41495400	0	7	7
15	41495400	41495500	0	7	7
15	51093600	51093700	0	6	6
15	51093700	51093800	0	6	6
15	52788300	52788400	0	10	10
15	52789000	52789100	0	12	12
15	52805900	52806000	0	12	12
15	52806000	52806100	0	2	2
15	58065600	58065700	0	4	4
15	58065700	58065800	0	14	14
15	67827100	67827200	0	4	4
15	67827200	67827300	0	10	10
15	67829700	67829800	0	8	8
15	67829800	67829900	0	4	4
15	69031600	69031700	0	12	12
15	74133000	74133100	0	12	12
15	74133100	74133200	0	4	4
15	74133200	74133300	0	16	16
15	74133300	74133400	0	4	4
15	74133400	74133500	0	18	18
15	74133500	74133600	0	6	6
15	74956200	74956300	0	10	10
15	76341600	76341700	0	4	4
15	76342700	76342800	0	2	2
15	76342800	76342900	0	2	2
15	82298600	82298700	0	2	2
15	82298700	82298800	0	4	4
15	83284300	83284400	0	4	4
15	83284400	83284500	0	4	4
15	89378900	89379000	0	3	3
15	89379000	89379100	0	3	3
15	89407500	89407600	0	4	4
15	89815100	89815200	0	10	10
15	89815200	89815300	0	8	8
15	99105100	99105200	0	10	10
15	99105200	99105300	0	4	4
15	100973700	100973800	0	2	2
15	100973800	100973900	0	10	10
16	1770800	1770900	0	2	2
16	1770900	1771000	0	14	14
16	11233100	11233200	0	5	5
16	11233200	11233300	0	3	3
16	15396100	15396200	0	6	6
16	19885500	19885600	0	4	4
16	23755000	23755100	0	8	8
16	28623100	28623200	0	2	2
16	28623200	28623300	0	2	2
16	31357100	31357200	0	1	1
16	31357200	31357300	0	1	1
16	51134400	51134500	0	16	16
16	67394600	67394700	0	6	6
16	68235800	68235900	0	4	4
16	89201300	89201400	0	7	7
16	89201400	89201500	0	5	5
17	4900900	4901000	0	8	8
17	4901000	4901100	0	6	6
17	12789600	12789700	0	6	6
17	28711600	28711700	0	2	2
17	28711700	28711800	0	4	4
17	28711800	28711900	0	10	10
17	45897200	45897300	0	10	10
17	45897300	45897400	0	8	8
17	48754900	48755000	0	8	8
17	48755000	48755100	0	4	4
17	64778500	64778600	0	8	8
17	64778700	64778800	0	2	2
17	64778800	64778900	0	7	7
17	64778900	64779000	0	5	5
17	64779000	64779100	0	8	8
17	68198300	68198400	0	10	10
17	68198400	68198500	0	6	6
17	74356900	74357000	0	2	2
17	74357000	74357100	0	6	6
17	74357100	74357200	0	4	4
17	74357200	74357300	0	4	4
17	79815700	79815800	0	8	8
17	79815800	79815900	0	8	8
17	81342600	81342700	0	12	12
17	81342700	81342800	0	14	14
17	82371400	82371500	0	2	2
17	82371500	82371600	0	6	6
18	5890300	5890400	0	6	6
18	5890400	5890500	0	12	12
18	22165500	22165600	0	4	4
18	22171000	22171100	0	2	2
18	22171100	22171200	0	2	2
18	22348800	22348900	0	18	18
18	23690000	23690100	0	4	4
18	50268100	50268200	0	1	1
18	50268200	50268300	0	1	1
18	54959300	54959400	0	4	4
18	57436400	57436500	0	3	3
18	57436500	57436600	0	13	13
18	78974300	78974400	0	2	2
19	1075000	1075100	0	4	4
19	1456000	1456100	0	20	20
19	1468300	1468400	0	14	14
19	1469300	1469400	0	6	6
19	1469400	1469500	0	2	2
19	1469700	1469800	0	4	4
19	1469800	1469900	0	6	6
19	2250600	2250700	0	8	8
19	2250700	2250800	0	4	4
19	2251200	2251300	0	12	12
19	2251300	2251400	0	14	14
19	2252100	2252200	0	4	4
19	2252200	2252300	0	10	10
19	14472500	14472600	0	10	10
19	15233400	15233500	0	20	20
19	15233500	15233600	0	18	18
