chr,start_div_100,Normal_count1,Normal_count2,Normal_count3,Normal_count4,Normal_count5,Normal_count6,Normal_count7,Normal_count8,Normal_count9,Normal_count10,GBM_count1,GBM_count2,GBM_count3,GBM_count4,GBM_count5,GBM_count6,GBM_count7,GBM_count8,GBM_count9,GBM_count10
1,104,1,1,7,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1
1,105,6,6,6,6,7,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6
1,1368,2,4,2,2,2,4,3,2,2,2,5,2,2,2,2,2,2,2,2,2
1,1914,3,2,2,3,4,2,3,3,3,2,4,4,3,4,4,4,4,4,4,4
1,1915,6,1,1,5,6,1,6,3,6,1,3,3,3,3,3,3,3,3,3,3
1,7791,3,3,6,4,3,3,6,6,3,6,10,3,7,10,10,10,10,6,10,10
1,8274,13,13,7,14,7,13,7,6,7,7,13,7,7,13,13,13,13,7,7,7
1,8700,15,10,10,13,19,10,10,12,15,10,15,21,23,25,17,19,23,19,19,25
1,8984,4,2,3,4,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1,9040,5,6,4,8,3,6,8,3,2,4,2,7,3,6,7,6,6,5,5,2
1,9041,3,7,7,8,5,7,8,8,5,7,3,4,3,7,4,5,5,3,3,3
1,9060,3,1,2,4,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1
1,9078,5,5,7,6,4,5,7,5,4,7,5,2,2,7,5,5,7,5,3,2
1,9079,4,6,6,4,4,6,4,3,4,6,4,2,3,3,3,4,4,3,1,2
1,9102,23,17,10,21,10,17,11,12,9,10,22,22,22,23,22,23,23,11,10,22
1,9103,13,11,8,8,5,11,10,8,7,8,11,11,11,11,11,11,11,10,5,11
1,9104,7,1,1,4,4,1,6,4,6,1,4,4,4,4,4,4,4,6,3,4
1,9132,5,5,7,7,3,5,8,7,3,7,3,7,4,5,4,7,7,8,4,7
1,9137,3,2,1,5,2,2,5,2,3,1,2,4,2,4,4,2,6,2,2,2
1,9206,14,13,13,14,10,13,8,7,7,13,7,14,7,12,7,7,7,7,7,7
1,9207,3,4,4,4,3,4,3,3,1,4,1,3,1,3,1,1,1,1,1,1
1,9213,14,13,14,13,14,13,5,1,7,14,2,3,3,1,3,9,9,2,3,3
1,9237,21,10,20,21,10,10,20,10,10,20,20,10,21,20,20,20,20,20,20,20
1,9245,16,17,6,6,3,17,6,11,5,6,11,6,17,17,12,16,12,16,17,22
1,9246,23,11,11,23,11,11,21,12,11,11,11,23,11,11,11,11,23,11,11,11
1,9258,18,11,15,18,6,11,14,5,6,15,14,14,9,14,14,14,14,14,3,3
1,9357,10,6,3,5,4,6,5,2,4,3,2,2,3,3,2,5,2,2,3,2
1,9371,7,4,2,10,2,4,9,9,7,2,5,5,8,10,8,8,8,8,8,8
1,9392,3,10,10,9,3,10,6,7,4,10,7,3,4,4,7,7,7,7,3,7
1,9399,8,6,6,8,4,6,12,6,7,6,5,7,3,11,12,7,8,7,5,6
1,9405,26,17,17,17,4,17,4,13,4,17,13,22,19,22,22,19,21,18,10,10
1,9416,8,4,10,8,4,4,7,1,3,10,8,4,4,8,4,4,4,4,4,4
1,9459,1,1,1,3,3,1,3,1,1,1,1,1,2,1,2,1,2,1,1,1
1,9460,8,2,3,4,2,2,1,5,2,3,5,5,5,5,5,5,5,5,5,5
1,9462,2,1,2,2,1,1,3,1,1,2,4,4,4,4,1,1,1,1,8,5
1,9510,6,1,3,6,3,1,5,1,5,3,3,3,3,3,3,3,3,3,3,3
1,9597,19,11,26,10,5,11,8,14,5,26,19,13,11,19,11,11,19,17,18,11
1,9598,8,7,7,8,14,7,1,3,14,7,8,5,8,18,7,8,8,9,8,7
1,9600,4,3,3,4,3,3,4,2,3,3,10,10,10,10,6,10,10,10,10,1
1,9606,30,5,9,31,12,5,24,10,22,9,25,25,15,19,15,29,25,25,25,25
1,9609,21,11,11,26,12,11,1,21,12,11,16,26,21,21,31,26,26,26,16,6
1,9617,9,2,1,5,5,2,4,5,5,1,1,1,1,1,4,2,1,1,1,1
1,9664,12,13,12,12,12,13,12,8,12,12,9,10,9,12,10,10,10,10,5,5
1,9665,7,7,7,7,5,7,7,2,5,7,7,7,5,7,7,7,7,7,2,2
1,9670,16,13,15,8,5,13,15,8,16,15,16,16,5,8,23,16,16,16,8,8
1,9671,5,2,7,5,1,2,5,1,5,7,5,5,2,5,5,5,5,5,5,5
1,9709,10,17,17,18,18,17,18,9,17,17,9,9,17,17,17,17,17,9,8,8
1,9716,8,5,6,5,5,5,6,4,5,6,5,5,3,5,2,5,5,5,5,5
1,9717,12,11,7,7,5,11,7,7,3,7,10,10,7,10,6,12,10,10,10,10
1,9718,10,5,6,9,3,5,5,2,3,6,2,2,1,7,3,6,10,5,3,6
1,9739,8,6,6,2,4,6,4,6,3,6,2,3,2,7,4,2,2,2,2,2
1,9782,10,2,5,6,5,2,9,4,5,5,5,1,5,7,5,5,5,5,5,5
1,9850,6,1,1,6,1,1,3,4,3,1,4,7,7,7,7,7,7,7,7,3
1,9992,9,15,5,11,4,15,19,7,18,5,9,9,9,14,9,18,15,12,12,12
1,9993,7,8,5,5,9,8,9,14,12,5,4,4,6,17,4,14,14,9,19,12
1,9994,16,12,23,26,19,12,7,20,12,23,3,3,10,22,7,22,9,3,9,9
1,10002,10,26,16,11,26,26,26,6,21,16,6,27,6,27,27,27,27,27,32,27
1,10007,22,12,22,12,20,12,23,19,11,22,12,2,13,22,22,21,22,22,20,11
1,10011,10,5,5,5,6,5,20,20,16,5,8,15,6,5,10,9,15,6,5,5
1,10013,4,3,2,7,7,3,3,3,6,2,1,5,5,5,5,5,5,1,1,1
1,10015,11,11,11,11,8,11,6,6,6,11,4,2,4,4,4,4,5,4,4,2
1,10016,20,20,23,19,13,20,11,20,9,23,16,7,12,16,12,16,16,16,16,3
1,10017,22,22,19,23,19,22,5,14,14,19,28,28,23,28,23,28,28,28,20,15
1,10018,21,15,15,15,7,15,13,13,7,15,28,28,28,28,28,28,28,28,20,20
1,10019,10,9,11,10,3,9,5,7,3,11,8,13,6,13,18,8,13,8,13,13
1,10040,3,2,3,3,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1
1,10088,11,6,11,11,9,6,9,4,9,11,11,13,11,11,11,11,11,11,11,11
1,10089,8,7,3,3,1,7,1,1,1,3,8,8,8,8,8,8,8,4,4,3
1,10197,11,6,6,7,11,6,6,6,6,6,12,12,12,12,12,12,12,12,12,6
1,10248,5,5,4,5,5,5,5,5,5,4,1,1,4,1,1,1,1,1,1,1
1,10249,12,14,13,12,5,14,7,12,5,13,6,6,12,6,12,6,12,6,6,6
1,10327,7,4,5,6,6,4,4,4,6,5,1,4,2,4,4,4,4,4,4,4
1,10330,11,5,6,7,1,5,2,6,4,6,10,8,8,8,12,10,10,14,8,8
1,10331,20,20,10,20,10,20,10,10,20,10,20,20,20,20,20,20,20,20,20,20
1,10332,11,3,1,10,2,3,2,10,3,1,3,3,3,8,3,3,10,3,3,3
1,10339,20,3,3,18,20,3,11,21,13,3,11,14,14,14,14,14,14,14,8,5
1,10380,3,4,4,3,3,4,2,1,2,4,2,2,2,2,2,2,2,2,2,2
1,10421,7,6,2,10,5,6,10,2,9,2,2,2,3,4,3,4,11,1,3,7
1,10441,11,7,7,7,5,7,5,4,5,7,16,16,13,13,13,14,14,14,9,16
1,10482,10,6,3,2,1,6,5,4,1,3,1,4,6,5,3,3,3,3,1,1
1,10483,7,10,3,5,2,10,4,1,2,3,6,6,6,7,6,6,6,6,2,6
1,10486,11,4,9,11,6,4,11,5,6,9,1,7,12,12,12,12,12,6,7,7
1,10488,5,5,2,2,2,5,2,3,1,2,4,1,1,1,1,4,4,1,4,1
1,10489,5,11,4,10,4,11,10,6,10,4,6,8,8,6,8,6,6,6,6,6
1,10514,10,5,7,9,10,5,4,3,3,7,3,10,5,17,14,8,11,3,16,11
1,10515,7,5,7,7,5,5,2,3,3,7,7,9,8,10,8,8,10,7,10,7
1,10516,8,10,6,13,7,10,10,3,7,6,9,9,5,10,10,11,10,6,9,5
1,10547,7,3,3,6,3,3,6,3,3,3,3,6,6,6,6,7,7,6,3,4
1,10552,1,1,5,11,3,1,8,1,4,5,3,4,4,4,8,5,3,3,3,3
1,10553,4,4,4,8,2,4,6,4,2,4,2,6,6,6,3,7,2,2,3,2
1,10592,3,17,17,8,7,17,10,8,14,17,15,1,8,15,15,15,8,15,8,14
1,10597,11,5,5,5,4,5,5,4,9,5,15,8,15,11,11,11,11,11,17,17
1,10598,13,15,13,13,3,15,6,7,13,13,17,7,15,17,13,19,15,13,15,19
1,10604,4,1,5,5,3,1,5,1,5,5,2,2,2,2,2,2,2,2,2,2
1,10606,3,4,4,3,3,4,3,1,3,4,4,4,2,4,2,2,2,2,2,2
1,10661,6,5,2,5,9,5,5,4,1,2,5,5,5,5,5,5,5,5,4,4
1,10662,3,4,1,2,2,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2
1,10685,10,9,9,10,4,9,9,5,4,9,4,4,4,5,5,9,4,4,4,4
1,10686,3,3,3,2,2,3,2,1,2,3,5,5,5,5,5,6,5,5,5,2
1,10693,28,3,13,18,15,3,15,14,15,13,28,25,15,15,25,25,25,25,21,21
1,10695,8,5,5,8,3,5,5,3,3,5,5,9,5,8,8,8,7,5,5,5
1,10696,24,11,11,24,13,11,11,13,13,11,11,24,16,24,25,25,25,11,16,11
1,10697,5,3,3,2,2,3,5,2,2,3,3,7,3,3,5,5,5,3,5,3
1,10698,12,10,19,21,2,10,21,20,2,19,10,12,19,20,23,23,23,21,21,21
1,10728,7,4,4,7,7,4,4,7,3,4,7,7,7,7,4,7,7,3,4,7
1,10827,15,6,6,9,6,6,14,2,6,6,7,7,13,13,13,13,13,13,13,13
1,10829,22,16,12,21,2,16,13,9,2,12,11,22,22,21,12,22,22,2,3,3
1,10835,10,3,3,10,2,3,5,3,2,3,5,5,5,5,5,5,5,5,5,5
1,10845,6,2,4,3,5,2,6,7,1,4,4,6,6,6,9,9,6,4,4,6
1,10846,9,3,4,3,5,3,10,5,4,4,6,2,9,9,9,9,12,6,9,8
1,10862,5,5,5,8,5,5,10,3,3,5,4,2,2,8,8,9,6,1,3,4
1,10889,9,5,4,6,10,5,6,4,5,4,5,6,9,10,9,6,7,5,3,3
1,10890,10,1,1,8,1,1,12,1,9,1,17,17,17,17,17,17,16,17,17,10
