chr,start_div_100,Normal_count1,Normal_count2,Normal_count3,Normal_count4,Normal_count5,GBM_count1,GBM_count2,GBM_count3,GBM_count4,GBM_count5
1,6318,1,2,1,1,1,2,2,2,2,2
1,12325,4,18,7,4,4,22,15,15,15,15
1,13487,21,39,19,1,16,40,40,40,40,40
1,14078,11,7,3,2,3,17,7,13,7,7
1,17598,4,4,3,4,5,5,5,9,5,5
1,21910,2,1,1,1,1,2,2,2,2,2
1,24116,6,1,12,5,6,6,1,12,4,1
1,24404,4,4,3,3,3,6,4,3,4,5
1,26600,2,2,3,1,2,2,2,2,2,2
1,35322,3,1,2,2,2,3,5,5,3,3
1,42225,1,1,1,1,1,1,1,1,1,1
1,42226,2,2,2,2,2,2,2,2,2,2
1,62458,8,12,8,7,8,19,15,8,8,15
1,62459,2,2,2,3,2,5,5,2,2,5
1,65076,2,1,1,3,2,3,3,3,3,3
1,83181,7,3,6,4,3,8,4,3,3,3
1,83182,11,6,11,5,6,12,7,7,7,7
1,100240,3,1,2,2,1,1,1,1,1,1
1,112738,1,1,2,2,1,4,2,1,1,1
1,117309,1,2,3,1,2,2,2,2,1,2
1,121476,4,5,1,3,3,6,4,4,6,4
1,121801,2,1,4,5,2,4,4,4,4,4
1,156045,7,7,4,7,7,9,9,5,5,9
1,162165,8,1,3,7,2,15,15,15,15,15
1,165346,1,3,1,1,1,1,1,1,1,1
1,165347,6,11,6,6,6,8,8,8,8,8
1,165357,7,7,7,7,7,7,7,7,7,7
1,165358,1,1,1,1,1,1,1,1,1,1
1,166246,6,9,4,7,7,3,3,3,3,3
1,166247,3,3,2,3,3,2,2,2,2,2
1,166446,18,2,2,2,1,19,19,11,19,19
1,166447,18,18,14,14,13,14,14,14,14,18
1,166468,4,4,5,4,4,9,9,9,9,9
1,166469,2,4,1,2,2,5,3,5,3,3
1,167280,9,9,7,9,8,4,4,4,4,4
1,167281,5,5,3,2,3,3,3,3,3,3
1,168685,1,3,2,2,1,1,1,1,1,1
1,168686,3,5,2,2,3,3,3,3,3,3
1,168731,8,8,5,5,5,11,11,11,11,11
1,168732,6,6,2,2,2,2,2,2,2,2
1,186378,2,3,2,2,3,10,10,7,5,7
1,206609,2,1,1,1,1,1,1,1,1,1
1,238252,8,3,5,4,5,8,8,10,5,8
1,249313,3,3,7,3,3,6,3,3,3,3
1,249314,2,2,3,2,6,6,6,6,6,3
1,250460,2,2,2,2,2,3,3,3,3,3
1,250461,2,2,2,2,2,2,2,2,2,2
1,256175,4,4,4,4,4,4,4,9,4,4
1,256176,8,8,8,8,8,8,8,16,8,8
1,256177,1,1,1,1,1,9,8,8,8,8
1,270124,19,9,19,9,19,10,10,10,10,10
1,270125,3,2,3,1,2,1,1,1,1,1
1,271469,3,4,4,4,4,4,4,4,4,4
1,273671,1,2,1,2,1,3,3,3,3,3
1,278731,2,4,3,3,3,3,3,3,3,3
1,288873,4,4,7,4,3,6,6,6,6,6
1,288874,1,1,3,1,2,3,3,2,3,3
1,321805,12,6,6,6,5,11,11,11,11,11
1,321806,2,1,1,1,1,1,1,1,1,1
1,329241,2,1,2,2,2,4,3,3,3,3
1,333342,3,2,5,2,2,3,3,3,3,3
1,333343,3,4,5,2,3,2,3,3,3,3
1,360893,5,3,3,3,3,13,13,7,13,13
1,374742,17,20,1,9,1,12,3,3,3,3
1,375539,10,9,6,6,6,5,5,5,5,5
1,396395,5,4,4,4,4,6,6,6,12,12
1,396396,9,18,7,7,10,10,10,10,10,10
1,447226,1,2,1,1,2,9,5,1,1,1
1,447227,2,1,1,2,1,2,2,2,2,2
1,544902,3,1,2,1,1,2,2,2,2,2
1,633241,20,18,20,20,20,20,20,40,19,40
1,839989,13,2,3,2,5,15,15,15,15,15
1,1003527,12,4,3,3,3,26,26,26,26,26
1,1003528,7,6,7,7,7,13,13,13,13,13
1,1096200,2,1,1,1,1,3,3,7,3,7
1,1117406,3,8,8,1,2,2,2,2,2,2
1,1190083,6,5,5,10,1,13,16,8,8,13
1,1441042,3,2,4,2,3,2,2,2,2,2
1,1441043,3,2,5,2,3,5,5,3,5,5
1,1457668,1,1,1,1,1,1,1,1,1,1
1,1470726,9,5,5,5,5,9,9,9,10,9
1,1470727,9,5,1,4,4,9,9,9,9,9
1,1501592,1,2,3,1,3,2,2,2,2,2
1,1501593,3,3,9,3,5,6,6,6,6,6
1,1518146,5,5,5,5,1,10,10,9,5,5
1,1551747,4,1,1,1,1,9,3,3,9,3
1,1556884,7,7,3,7,7,7,7,7,7,7
1,1556885,11,11,11,4,11,11,11,11,11,11
1,1560825,7,4,3,5,4,8,5,8,8,5
1,1562167,12,12,24,12,12,13,12,12,12,12
1,1566010,7,8,8,1,1,8,8,8,8,8
1,1569206,2,3,3,3,2,2,2,2,2,2
1,1569207,6,6,6,6,6,6,6,6,6,6
1,1569208,1,5,5,5,6,10,10,10,10,10
1,1614572,4,4,3,1,3,1,1,4,1,1
1,1614573,21,19,7,10,10,11,11,21,11,11
1,1656304,2,5,3,2,2,6,6,6,6,6
1,1656305,6,12,6,6,6,6,6,6,6,6
1,1802305,9,16,9,1,7,8,8,8,8,8
1,1823899,3,3,3,3,3,3,3,3,3,3
1,1823900,1,4,1,3,1,9,9,7,9,9
1,2010232,9,10,7,8,4,17,17,10,10,17
1,2011150,9,9,7,8,9,23,23,23,23,23
1,2011151,3,3,5,3,3,20,16,16,16,16
1,2036764,3,3,3,3,2,1,1,1,1,1
1,2113830,2,1,6,3,3,3,3,3,3,3
1,2269401,23,17,2,1,6,17,24,17,17,17
1,2280378,6,9,10,1,1,22,22,22,12,12
1,2284583,6,5,5,6,5,7,7,7,7,7
1,2284584,10,16,7,6,1,7,7,7,7,7
1,2310395,6,6,8,3,3,18,18,16,18,18
1,2310400,15,15,16,13,14,31,31,31,31,31
1,2310401,6,6,5,6,6,11,11,11,11,11
1,2328054,22,22,8,11,11,22,22,22,22,11
1,2342147,8,5,7,8,3,8,16,8,8,8
1,2474915,1,3,1,1,1,1,1,3,1,1
1,2474916,2,3,2,2,2,2,2,3,2,2
10,31388,1,2,2,2,1,1,1,1,1,1
10,251750,11,1,11,11,15,28,28,28,25,28
10,271555,4,7,6,2,4,4,4,5,4,4
10,271556,2,5,5,2,2,2,2,2,2,2
10,273203,3,1,1,1,1,1,1,1,1,1
10,337742,1,1,2,1,2,15,15,15,13,15
10,422637,1,1,1,1,1,1,1,1,1,1
10,422638,1,1,1,1,1,2,2,2,2,2
10,436903,11,11,5,6,6,3,3,2,3,3
10,456729,3,3,2,1,1,6,6,6,4,10
10,456730,13,13,6,7,7,14,14,14,8,14
10,465275,1,1,1,1,1,1,1,1,1,1
10,465276,2,2,2,2,2,2,2,2,2,1
10,465560,4,5,5,9,5,10,10,10,10,10
10,465563,8,8,3,2,2,8,9,8,8,8
10,465564,8,8,16,8,4,8,16,8,8,8
10,465577,12,8,3,6,1,6,10,6,6,6
10,506251,4,4,4,4,2,14,14,14,14,14
10,607324,2,1,5,5,1,2,2,2,2,2
10,710122,1,1,1,1,1,2,2,2,2,2
10,714432,1,1,1,1,1,1,1,2,1,1
10,739944,1,1,1,2,1,1,1,1,1,1
10,751119,4,4,4,4,4,4,4,4,4,4
10,751120,1,3,1,1,1,5,5,5,5,5
10,752349,4,4,4,4,3,16,16,16,16,16
10,863648,1,5,3,4,4,1,1,1,1,1
10,878178,4,7,3,3,4,10,10,10,10,10
10,889353,6,3,3,3,1,5,5,5,5,5
10,974292,2,2,1,1,1,2,2,2,2,2
10,974293,3,4,5,5,5,4,4,4,4,4
10,1007420,4,1,1,1,1,6,10,6,10,10
10,1010605,3,2,3,2,3,6,6,6,6,6
10,1010606,3,1,1,1,1,1,1,3,1,1
10,1024223,2,1,2,2,3,2,2,2,2,2
10,1042552,7,6,12,13,6,13,13,13,13,13
10,1042553,1,3,4,4,3,4,4,4,4,4
10,1129515,1,8,1,1,2,8,8,8,8,8
10,1141030,4,4,4,4,4,4,4,4,4,4
10,1141031,1,1,1,1,1,1,1,1,1,1
10,1215738,4,5,1,2,3,4,4,4,4,4
10,1258960,21,22,11,21,25,30,30,30,30,30
10,1258961,9,9,3,7,3,19,18,10,10,8
