Feature,Logistic_Regression,p_value
22_113617,-0.2123,1.7374812079300185e-06
7_9352,-0.1927,2.1222062970789866e-07
1_633241,0.1826,4.032719217881181e-06
2_1761001,0.1795,1.8029008056966236e-10
22_110671,-0.1704,8.236642037102272e-05
21_104565,-0.1685,0.00016904743929489698
1_270124,0.168,1.684696718754988e-08
GL000214.1_1295,-0.1646,6.370774892362593e-07
9_605459,-0.1627,3.818739829262842e-09
9_881806,-0.1623,2.849585361202585e-09
17_216840,-0.1545,2.530416762999594e-06
16_685204,-0.1537,7.093907697764556e-08
1_396395,0.1484,0.00010662754690555084
3_1289936,-0.148,4.5951082372220897e-07
10_1141030,-0.1477,0.00014544957411414614
21_98236,-0.1476,0.0002183997985136271
21_98396,-0.1473,0.0003493672206026419
21_103975,-0.1454,1.4342460305821087e-05
GL000225.1_650,-0.1382,2.2828093053916865e-10
KI270754.1_360,-0.1376,2.2620329781388582e-05
KI270442.1_2427,-0.1365,1.0687996784836034e-06
18_487813,0.1338,1.2153601599724901e-05
GL000225.1_588,-0.1335,0.0002293566674893508
KI270438.1_1093,-0.1326,1.4626322324677398e-07
6_3416,-0.131,0.0002519313601039978
8_1201248,0.1288,1.7989796712208905e-05
17_11234,-0.1268,0.0004064516027472271
19_501367,-0.1266,1.9720697194798443e-07
KI270442.1_2436,-0.1253,8.643008959800524e-05
KI270733.1_1556,-0.124,2.058602720930403e-07
KI270754.1_361,-0.1221,0.00015307993291755213
22_110664,-0.1209,0.00019862528716645356
KI270754.1_196,-0.1198,1.4218623630356368e-06
1_167280,-0.1187,0.005093332896701746
KI270442.1_2318,-0.1186,0.0001347865104477017
19_500998,-0.1183,9.405379425499485e-10
19_372934,-0.1167,1.2393030375840432e-06
KI270754.1_383,-0.116,3.553721344677886e-07
9_397914,0.1158,5.533549838263722e-09
KI270733.1_1699,0.1131,0.002190826065541428
KI270754.1_200,-0.113,0.00011033789424448343
KI270723.1_353,-0.1111,0.0026272208786662834
KI270438.1_1104,-0.1087,4.922104111862173e-05
1_1614573,0.1083,0.0010730244981130266
GL000225.1_302,-0.1074,0.0033454843938481183
21_103433,-0.1071,2.0169894621214094e-05
8_1427778,0.1062,6.879860182078607e-07
KI270733.1_1285,0.1061,0.0005391842746828443
1_396396,0.1049,2.0841382601875253e-05
15_763472,0.1044,0.0006561542848711664
KI270744.1_1405,-0.1002,0.00016642544560507939
GL000214.1_1087,-0.1002,0.00019236495150337784
20_308120,-0.0989,0.0013153034634615416
KI270733.1_1357,0.0976,0.003085200585065141
KI270733.1_1666,0.0958,0.0005629575173473921
GL000225.1_1372,-0.0955,0.00012134437635277315
9_628018,0.0945,0.0046712515404240505
3_756689,-0.0921,0.005636554829195957
KI270733.1_1689,0.0914,9.94304155809643e-05
KI270733.1_1681,0.0897,9.034683934933115e-05
KI270744.1_1406,-0.0893,0.0028456452029873374
KI270733.1_1652,-0.0877,0.00024664971274674464
1_1569207,0.087,1.7058510563750405e-05
7_563719,-0.0866,1.1940963938440312e-10
GL000225.1_531,-0.0865,0.001961474269134512
12_1222267,0.0864,7.966353351725992e-05
19_398919,-0.0864,0.004722046430725337
KI270733.1_1688,0.0862,0.00023660615297864575
KI270733.1_1731,0.0842,5.336840042849575e-06
19_577275,0.082,0.00021505312206381925
9_657372,0.0813,0.001112946270907851
19_9213,-0.0808,0.009418399528880373
20_293277,-0.0793,0.0020483990666166027
22_107418,-0.0774,9.74374917422132e-07
21_104055,-0.0765,0.0038454997772015215
22_107419,-0.0762,0.00014111396122528072
3_756692,-0.076,1.9106409828569485e-07
2_99509,0.0758,0.00027448113351243166
17_282273,0.0756,0.00016370384718588496
KI270442.1_3824,-0.074,3.551434599882702e-05
Y_113334,-0.0731,0.0004527947500292849
8_1440489,0.0723,0.0034266609628242806
17_601391,0.0717,0.002242855805030352
20_297541,-0.0713,0.00040025363154377907
12_83890,-0.0711,0.01038488725896066
GL000218.1_586,-0.0708,0.006872199517327004
8_1298261,0.07,0.0032144244538973472
1_2011150,0.0699,0.0026174169377480346
2_2223041,0.0696,0.005243393024092616
9_638180,0.0685,0.0010826033671031718
3_756693,-0.0672,0.0003588749982012498
4_48673,0.0668,0.00021212268065221943
KI270733.1_1732,0.0652,0.008126240320384642
16_330602,-0.0646,0.0010167433838543147
17_74365,0.0644,0.0001673052659259388
KI270733.1_1300,0.0616,0.0011563173798776435
8_1427774,0.0613,0.0005194678084849799
9_390788,0.0612,0.0004886499156894226
1_165357,0.0611,0.023779368108417225
16_14142,0.0607,0.0009935289687655364
6_309149,-0.0606,0.0006558446108077539
20_257748,-0.0603,7.987210563679265e-05
20_297540,-0.0598,0.0008830256475581861
3_379939,0.0585,4.320531716547101e-06
6_1365507,0.0579,0.0012740462618206566
7_563736,-0.0573,6.13206715886486e-07
KI270754.1_391,-0.0562,0.0004639944145819205
9_628019,0.056,0.004763730391842772
16_671847,0.0556,0.00015796800780931727
KI270754.1_199,-0.0547,1.4442213383937657e-05
17_797902,0.0545,0.0001601228832438561
6_1440644,0.0541,6.185082447627374e-05
KI270733.1_1690,0.0533,0.0016460494179592194
9_638168,0.0532,0.01956175374570864
KI270733.1_1653,-0.0517,0.001677148546994387
11_664311,-0.0503,0.004431063189183333
